model,seed,augment,n_train_used,best_classifier,val_macro_f1,test_accuracy,test_macro_f1
clap,1,False,201,Logistic Regression (C=1),0.9029,0.9248,0.9255
clap,1,True,804,"SVM (rbf, C=10)",0.8733,0.8722,0.8717
clap,2,False,201,Logistic Regression (C=1),0.9029,0.8872,0.8883
clap,2,True,804,"SVM (rbf, C=10)",0.8586,0.9098,0.9108
clap,3,False,201,Logistic Regression (C=1),0.8958,0.9023,0.9037
clap,3,True,804,Logistic Regression (C=1),0.8957,0.8872,0.8871
clap,4,False,201,Logistic Regression (C=1),0.8949,0.9098,0.9109
clap,4,True,804,"SVM (rbf, C=10)",0.8814,0.8947,0.8954
clap,5,False,201,"SVM (rbf, C=10)",0.9099,0.8947,0.8959
clap,5,True,804,"SVM (rbf, C=10)",0.8803,0.8722,0.8731
beats,1,False,201,"SVM (rbf, C=10)",0.8363,0.8496,0.8475
beats,1,True,804,"SVM (rbf, C=10)",0.8363,0.8647,0.8630
beats,2,False,201,Logistic Regression (C=1),0.8440,0.8647,0.8630
beats,2,True,804,"SVM (rbf, C=10)",0.8434,0.8421,0.8402
beats,3,False,201,"SVM (linear, C=1)",0.8363,0.7820,0.7778
beats,3,True,804,"SVM (linear, C=1)",0.8285,0.8271,0.8235
beats,4,False,201,"SVM (rbf, C=10)",0.8661,0.8421,0.8398
beats,4,True,804,"SVM (rbf, C=10)",0.8586,0.8496,0.8476
beats,5,False,201,"SVM (rbf, C=10)",0.8513,0.8571,0.8557
beats,5,True,804,Logistic Regression (C=10),0.8514,0.8120,0.8104
passt,1,False,201,Logistic Regression (C=1),0.8721,0.8346,0.8326
passt,1,True,804,Logistic Regression (C=10),0.8734,0.8496,0.8478
passt,2,False,201,Logistic Regression (C=1),0.8650,0.8872,0.8873
passt,2,True,804,"SVM (rbf, C=10)",0.7995,0.8571,0.8566
passt,3,False,201,Logistic Regression (C=1),0.8065,0.8496,0.8479
passt,3,True,804,Logistic Regression (C=10),0.8209,0.8647,0.8633
passt,4,False,201,"SVM (rbf, C=10)",0.8366,0.8872,0.8869
passt,4,True,804,"SVM (rbf, C=10)",0.8292,0.8722,0.8708
passt,5,False,201,Logistic Regression (C=10),0.8492,0.8647,0.8636
passt,5,True,804,Logistic Regression (C=1),0.8496,0.8271,0.8256
ast,1,False,201,"SVM (rbf, C=10)",0.8212,0.8571,0.8549
ast,1,True,804,"SVM (rbf, C=10)",0.8136,0.8496,0.8472
ast,2,False,201,"SVM (rbf, C=10)",0.8213,0.8571,0.8562
ast,2,True,804,Logistic Regression (C=1),0.8351,0.8271,0.8265
ast,3,False,201,"SVM (rbf, C=10)",0.8285,0.8647,0.8622
ast,3,True,804,"SVM (rbf, C=10)",0.8284,0.8571,0.8547
ast,4,False,201,"SVM (rbf, C=10)",0.8359,0.8647,0.8633
ast,4,True,804,"SVM (rbf, C=10)",0.8359,0.8647,0.8633
ast,5,False,201,Logistic Regression (C=1),0.8348,0.8571,0.8553
ast,5,True,804,"SVM (rbf, C=10)",0.8436,0.8421,0.8405
